Wch U10,Menorca,1996.??.??,2,"Gashimov, Vugar","Harikrishna, Penteala",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Bg5', 'Bg7'], ['e5', 'Ng8'], ['Nf3', 'Bg4'], ['h3', 'Bxf3'], ['Qxf3', 'Qc8\n'], ['Bc4', 'e6'], ['O-O-O', 'Nd7'], ['exd6', 'cxd6'], ['Nb5', 'Bf8'], ['Rhe1', 'a6'], ['Nc3', 'b5'], ['Bd5', 'Ra7\n'], ['Bc6', 'Nf6']]",1-0
Wch U10,Menorca,1996.??.??,4,"Torma, Robert","Harikrishna, Penteala",,,B09,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['f4', 'Bg7'], ['Nf3', 'O-O'], ['e5', 'Nfd7'], ['Bc4', 'Nb6'], ['Bb3', 'Bg4\n'], ['O-O', 'c5'], ['Nd5', 'dxe5'], ['dxc5', 'N6d7'], ['Be3', 'Bxf3'], ['Qxf3', 'Nxc5']]",0-1
Wch U10,Menorca,1996.??.??,5,"Harikrishna, Penteala","Radjabov, Teimour",,,A10,"[['c4', 'f5'], ['Nc3', 'Nf6'], ['d3', 'e6'], ['e4', 'd6'], ['g3', 'b6'], ['Bg2', 'Bb7'], ['Nge2', 'g6'], ['O-O', 'Qd7'], ['Bg5', 'Be7\n'], ['Nf4', 'c6'], ['exf5', 'e5'], ['Ne6', 'gxf5'], ['Ng7+', 'Kf7'], ['Nh5', 'Ng8'], ['Bxe7', 'Nxe7'], ['f4', 'Rf8\n'], ['fxe5', 'dxe5'], ['Qg4', 'Ke8'], ['Qg7', 'Qd4+'], ['Kh1', 'Nd7'], ['Ne4', 'Kd8'], ['Ng5', 'Qd6'], ['Qxf8+', 'Nxf8\n'], ['Nf7+', 'Kd7'], ['Nxd6', 'Kxd6'], ['Ng7', 'Bc8'], ['Bh3', 'Nfg6'], ['Bxf5', 'Nxf5'], ['Nxf5+', 'Bxf5\n'], ['Rxf5', '']]",1-0
Wch U10,Menorca,1996.??.??,6,"Guseinov, Kadir","Harikrishna, Penteala",,,E87,"[['e4', 'd6'], ['d4', 'Nf6'], ['f3', 'g6'], ['c4', 'Bg7'], ['Nc3', 'O-O'], ['Be3', 'e5'], ['d5', 'Ne8'], ['Qd2', 'f5'], ['O-O-O', 'f4\n'], ['Bf2', 'a6'], ['g3', 'Bd7'], ['Kb1', 'Qc8'], ['h4', 'b5'], ['c5', 'fxg3'], ['Be3', 'dxc5'], ['Bxc5', 'Nd6\n'], ['Qg5', 'a5'], ['Bxd6', 'cxd6'], ['Nxb5', 'Bxb5'], ['Bxb5', 'Qc5'], ['a4', 'Na6'], ['Qxg3', 'Rfc8'], ['Qg2', 'Nb4\n'], ['Nh3', 'Qe3'], ['b3', 'Rc3'], ['Bc4', 'Rxc4'], ['bxc4', 'Rb8'], ['Qb2', 'Na6'], ['Rh2', 'Qxf3']]",0-1
Wch U10,Menorca,1996.??.??,7,"Harikrishna, Penteala","Alavi, Sayed Javad",,,A26,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['e4', 'd6'], ['Nge2', 'e5'], ['O-O', 'Nc6'], ['d3', 'Nh5\n'], ['h3', 'f5'], ['exf5', 'gxf5'], ['Nd5', 'Nf6'], ['Bg5', 'Ne7'], ['Nec3', 'c6'], ['Nxe7+', 'Qxe7'], ['Qd2', 'Be6\n'], ['Rae1', 'Qf7'], ['b3', 'Nh5'], ['Kh2', 'f4'], ['Bf3', 'Qg6'], ['Bh4', 'Qh6'], ['Kg2', 'Rae8'], ['g4', 'Nf6\n'], ['Bxf6', 'Qxf6'], ['Rh1', 'Qh4'], ['Reg1', 'Rd8'], ['Kf1', 'd5'], ['Qc2', 'Bf7'], ['g5', 'Bh5'], ['Bg4', 'Rfe8\n'], ['Ne2', 'f3'], ['Ng3', 'Bxg4'], ['hxg4', 'Qxg4'], ['Nh5', 'Qe6'], ['Nf6+', 'Bxf6'], ['gxf6+', 'Kh8'], ['Rg7', 'Qf5\n'], ['Qd2', 'dxc4'], ['Rhxh7+', 'Qxh7'], ['Rxh7+', 'Kxh7'], ['Qg5', 'Rd7']]",1-0
Wch U10,Menorca,1996.??.??,8,"Harikrishna, Penteala","Hera, Imre Jr",,,A26,"[['c4', 'Nc6'], ['Nc3', 'e5'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['d3', 'Nge7'], ['e4', 'd6'], ['Nge2', 'O-O'], ['O-O', 'Be6\n'], ['h3', 'Qd7'], ['Kh2', 'Rae8'], ['f4', 'f5'], ['Be3', 'Nd4'], ['Qd2', 'Nec6'], ['Rae1', 'Nxe2'], ['Rxe2', 'Nd4\n'], ['Ree1', 'Kh8'], ['b3', 'c6'], ['Ne2', 'Nxe2'], ['Rxe2', 'b5'], ['cxb5', 'cxb5'], ['Qa5', 'Rf7'], ['Rc2', 'fxe4\n'], ['dxe4', 'Qb7'], ['Rfc1', 'Rc8'], ['Rxc8+', 'Bxc8'], ['Qd8+', 'Rf8'], ['Qxd6', 'exf4'], ['Bxf4', 'Qb6\n'], ['Qxb6', 'axb6'], ['Rc6', 'Bd4'], ['b4', 'Re8'], ['Bd6', 'Bf2'], ['e5', 'Kg7'], ['Bd5', 'h6'], ['e6', 'Kf6\n'], ['Kg2', 'Bd4'], ['Bb3', 'Be3']]",1-0
Wch U10,Menorca,1996.??.??,9,"Erwich, Marc","Harikrishna, Penteala",,,B08,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Be2', 'Bg7'], ['Nf3', 'O-O'], ['O-O', 'c6'], ['a4', 'Bg4'], ['Be3', 'Qc7\n'], ['Qd2', 'Nbd7'], ['h3', 'Bxf3'], ['Bxf3', 'Rfd8'], ['Rad1', 'Nf8'], ['Rfe1', 'e5'], ['dxe5', 'dxe5'], ['Qe2', 'Ne6\n'], ['Nb1', 'Nd7'], ['c3', 'Qa5'], ['Qc2', 'Qc7'], ['Na3', 'Ndf8'], ['b4', 'Qe7'], ['Rxd8', 'Rxd8'], ['Bxa7', 'Nf4\n'], ['Be3', 'N8e6'], ['Bxf4', 'Nxf4'], ['Rd1', 'Rxd1+'], ['Qxd1', 'Qg5'], ['Kh2', 'Qh4'], ['Qf1', 'Qf6'], ['Bd1', 'Bh6\n'], ['Bc2', 'Nh5'], ['Bd3', 'Nf4'], ['Bc4', 'Nh5'], ['Nc2', 'Qf4+'], ['g3', 'Qd2'], ['Qe2', 'Qxc3'], ['Qd3', 'Qxd3\n'], ['Bxd3', 'Bd2'], ['Kg2', 'Nf6'], ['Kf3', 'Nd7'], ['Ke2', 'Bh6'], ['a5', 'Bf8'], ['Kd2', 'Bd6'], ['Kc3', 'Kf8\n'], ['Ne3', 'Ke7']]",1/2-1/2
Wch U10,Menorca,1996.??.??,10,"Yakimov, V.","Harikrishna, Penteala",,,B07,"[['e4', 'd6'], ['d3', 'g6'], ['g3', 'Bg7'], ['f4', 'e5'], ['Nc3', 'Ne7'], ['Nf3', 'Nbc6'], ['Bg2', 'O-O'], ['O-O', 'f5\n'], ['Be3', 'h6'], ['Qd2', 'Kh7'], ['Rae1', 'Be6'], ['fxe5', 'dxe5'], ['Bc5', 'Rf7'], ['Nh4', 'Qd7'], ['Rf2', 'f4\n'], ['gxf4', 'exf4'], ['Nf3', 'g5'], ['d4', 'g4'], ['d5', 'gxf3'], ['dxe6', 'Qxd2'], ['Rxd2', 'Bxc3'], ['bxc3', 'Rg7']]",0-1
Wch U10,Menorca,1996.??.??,11,"Harikrishna, Penteala","Murariu, Andrei",,,A23,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['g3', 'c6'], ['d4', 'exd4'], ['Qxd4', 'd5'], ['Bg5', 'Be7'], ['cxd5', 'cxd5'], ['e3', 'Be6\n'], ['Bg2', 'Nc6'], ['Qd2', 'O-O'], ['Nge2', 'Qa5'], ['O-O', 'Rfd8'], ['a3', 'h6'], ['b4', 'Qb6'], ['Bxf6', 'Bxf6\n'], ['Rab1', 'd4'], ['Ne4', 'Be7'], ['exd4', 'Nxd4'], ['Nxd4', 'Rxd4'], ['Qe3', 'Rad8'], ['Nc5', '']]",1/2-1/2
Wch U12 Disney,Paris,1996.??.??,2,"Harikrishna, Penteala","Bhat, Vinay S",,,A25,"[['c4', 'e5'], ['Nc3', 'f5'], ['g3', 'Nf6'], ['Bg2', 'Nc6'], ['d3', 'Bb4'], ['Nf3', 'O-O'], ['O-O', 'Bxc3'], ['bxc3', 'd6\n'], ['Qb3', 'Kh8'], ['Bg5', 'h6'], ['Bxf6', 'Qxf6'], ['Nd2', 'Nd8'], ['a4', 'Ne6'], ['a5', 'Qg5'], ['Qc2', 'c6\n'], ['a6', 'Qe7'], ['Rfb1', 'Nc5'], ['axb7', 'Bxb7'], ['Nb3', 'Rfb8'], ['Na5', 'e4'], ['d4', 'Ne6'], ['Nb3', 'Nd8\n'], ['Bh3', 'Bc8']]",1/2-1/2
Wch U12 Disney,Paris,1996.??.??,4,"Harikrishna, Penteala","Smeets, Jan",,,A36,"[['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'Nf6'], ['Bg2', 'O-O'], ['e4', 'd6'], ['Nge2', 'c5'], ['O-O', 'Nc6'], ['h3', 'a6\n'], ['f4', 'e6'], ['Kh2', 'Ne8'], ['d3', 'f5'], ['Be3', 'Qc7'], ['Ng1', 'Rb8'], ['a4', 'b6'], ['Nf3', 'h6'], ['Nh4', 'Kh7\n'], ['exf5', 'gxf5'], ['g4', 'Nb4'], ['gxf5', 'exf5'], ['Kg1', 'Bf6'], ['Qh5', 'Qf7'], ['Qxf7+', 'Rxf7'], ['Bf2', 'Nxd3\n'], ['Bg3', 'Bd4+'], ['Kh2', 'Nxb2'], ['Rac1', 'Bb7'], ['Nd5', 'Nxa4'], ['Bf3', 'Ng7'], ['Rc2', 'b5'], ['Bf2', 'Bxf2\n'], ['Rfxf2', 'Ba8'], ['Ra2', 'Rbf8'], ['Ra3', 'Bb7'], ['Rg2', 'Ne6']]",1-0
